model_id,base_id_y,inference_type_y,confidence_y,Accept,Reason
Crystalcareai/CrystalMistral,mistralai/Mistral-7B-Instruct-v0.3,finetune,high,TRUE,
devngho/phi4-jamo-tokenizer,microsoft/phi-4,merge,high,TRUE,
ganscs/Qwen3-4B-Instruct-2507-heretic,Qwen/Qwen3-4B-Instruct-2507,finetune,high,TRUE,
hasan-toontech/codegen-phaser,Salesforce/codegen-350M-mono,finetune,high,TRUE,
Hash0x/Roblox-Coder-Llama-7B-v1,codellama/CodeLlama-7b-Instruct-hf,finetune,high,TRUE,
InferenceIllusionist/Hyperion-1.5-Mistral-7B-iMat-GGUF,mistralai/Mistral-7B-v0.1,finetune,high,FALSE,wrong adaptation type
iamtarun/pycompetitive-codegen350M-qlora,Salesforce/codegen-350M-mono,finetune,high,TRUE,
indischepartij/TinyUltra-4x1.1B-Base-Alpha,TinyLlama/TinyLlama-1.1B-Chat-v1.0,merge,high,TRUE,
indischepartij/TinyUltra-4x1.1B-Base-Alpha,vihangd/DopeyTinyLlama-1.1B-v1,merge,high,TRUE,
indischepartij/TinyUltra-4x1.1B-Base-Alpha,QuixiAI/TinyDolphin-2.8.1-1.1b,merge,high,TRUE,
indischepartij/TinyUltra-4x1.1B-Base-Alpha,Josephgflowers/Tinyllama-Cinder-1.3B-Reason-Test,merge,high,TRUE,
ise-uiuc/Magicoder-DS-6.7B,deepseek-ai/deepseek-coder-6.7b-base,finetune,high,TRUE,
jcordon5/Mistral-7B-cybersecurity-rules,mistralai/Mistral-7B-Instruct-v0.2,finetune,high,TRUE,
jncraton/Salesforce-.-codegen-350M-mono,Salesforce/codegen-350M-multi,quantized,high,TRUE,
kanchisaw/oxide-compiler-model,TinyLlama/TinyLlama-1.1B-Chat-v1.0,adapter,high,TRUE,
kumapo/Phi-4-multimodal-instruct,microsoft/Phi-4-multimodal-instruct,finetune,high,FALSE,mirror
Larousquette/Qwen3-4B-Instruct-2507-heretic-v4,Qwen/Qwen3-4B-Instruct-2507,finetune,high,TRUE,
lmstudio-community/Hyperion-3.0-Mistral-7B-DPO-GGUF,Locutusque/Hyperion-3.0-Mistral-7B-DPO,finetune,high,TRUE,
localmodels/WizardCoder-15B-V1.0-GPTQ,bigcode/starcoder,finetune,high,FALSE,wrong adaptation type also not clear
Locutusque/Hercules-3.0-Mistral-7B,mistralai/Mistral-7B-v0.1,finetune,high,TRUE,
Locutusque/Hercules-4.0-Yi-34B,01-ai/Yi-34B,finetune,high,TRUE,
Locutusque/Hyperion-1.5-Mistral-7B,mistralai/Mistral-7B-v0.1,finetune,high,TRUE,
Locutusque/Hyperion-2.0-Mistral-7B,mistralai/Mistral-7B-v0.1,finetune,high,TRUE,
Locutusque/hyperion-small-preview,Qwen/Qwen1.5-1.8B,finetune,high,TRUE,
Locutusque/OpenCerebrum-1.0-7b-DPO,mistral-community/Mistral-7B-v0.2,finetune,high,TRUE,
Locutusque/OpenCerebrum-1.0-7b-SFT,mistral-community/Mistral-7B-v0.2,finetune,high,TRUE,
Locutusque/OpenCerebrum-2.0-7B,mistral-community/Mistral-7B-v0.2,finetune,high,TRUE,
lt-asset/Waffle_VLM_WebSight,HuggingFaceM4/VLM_WebSight_finetuned,finetune,high,TRUE,
m-a-p/OpenCodeInterpreter-DS-6.7B,deepseek-ai/deepseek-coder-6.7b-base,finetune,high,TRUE,
M4-ai/tau-0.5B,Qwen/Qwen1.5-0.5B,finetune,high,TRUE,
M4-ai/tau-0.5B-instruct,M4-ai/tau-0.5B,finetune,high,TRUE,
M4-ai/tau-0.5B-instruct-DPOP,M4-ai/tau-0.5B,finetune,high,TRUE,
M4-ai/tau-1.8B,Qwen/Qwen1.5-1.8B,finetune,high,TRUE,
michaelfeil/ct2fast-codegen-2B-multi,Salesforce/codegen-2B-multi,quantized,high,TRUE,
michaelfeil/ct2fast-codegen2-1B,Salesforce/codegen2-1B_P,quantized,high,TRUE,
michaelfeil/ct2fast-starchat-beta,HuggingFaceH4/starchat-beta,quantized,high,TRUE,
microsoft/codebert-base,FacebookAI/roberta-base,finetune,high,TRUE,
model-attribution-challenge/codegen-350M-multi,Salesforce/codegen-350M-nl,finetune,high,TRUE,
mrm8488/codebert-base-finetuned-detect-insecure-code,microsoft/codebert-base,finetune,high,TRUE,
mrSoul7766/gemma-2b-it-python-code-gen-adapter,google/gemma-2b-it,finetune,high,TRUE,
nextai-team/Moe-3x7b-QA-Code-Inst,nextai-team/Moe-2x7b-QA-Code,finetune,high,TRUE,
niansong1996/lever-wikitq-codex,google-t5/t5-large,finetune,high,TRUE,
NoirZangetsu/Qwen2.5-0.5B-Flutter-2,unsloth/Qwen2.5-Coder-0.5B-Instruct-bnb-4bit,finetune,high,TRUE,
Nondzu/Mistral-7B-codealpaca-lora,mistralai/Mistral-7B-Instruct-v0.1,finetune,high,TRUE,
okayjosh/iso25010-qwen2.5-7b-iso25010-lora32,Qwen/Qwen2.5-7B-Instruct,adapter,high,TRUE,
openbmb/Eurus-70b-nca,openbmb/Eurus-70b-sft,finetune,high,TRUE,
openbmb/Eurus-7b-kto,openbmb/Eurus-7b-sft,finetune,high,TRUE,
opencsg/opencsg-stable-code-3b-v1,stabilityai/stable-code-3b,finetune,high,TRUE,
opencsg/opencsg-starcoder2-7b-v0.1,bigcode/starcoder2-3b,finetune,high,TRUE,
Pasta009/IF-CL-MC-34B,codellama/CodeLlama-34b-Instruct-hf,finetune,high,TRUE,
piratos/ct2fast-starchat-beta,bigcode/starcoderplus,finetune,high,TRUE,
Qiskit/granite-8b-qiskit,ibm-granite/granite-8b-code-base-4k,finetune,high,TRUE,
QuantFactory/Minitron-4B-Base-GGUF,nvidia/Minitron-4B-Base,quantized,high,TRUE,
quim-motger/reviewBERT-large,google-bert/bert-large-uncased,finetune,high,TRUE,
quim-motger/t-frex-bert-base-uncased,google-bert/bert-base-uncased,finetune,high,TRUE,
R0k1e/UltraLink-LM,meta-llama/Llama-2-13b-hf,finetune,high,TRUE,
rainmana/Qwen3-4B-Instruct-2507-heretic,Qwen/Qwen3-4B-Instruct-2507,finetune,high,TRUE,
RedHatAI/granite-4.0-h-small,ibm-granite/granite-4.0-h-small-base,finetune,high,TRUE,
RedHatAI/starcoder2-7b-quantized.w8a8,bigcode/starcoder2-7b,quantized,high,TRUE,
RichardErkhov/bigcode_-_tiny_starcoder_py-4bits,bigcode/tiny_starcoder_py,quantized,high,TRUE,
RichardErkhov/cfahlgren1_-_OpenHermes-Llama_3B-gguf,openlm-research/open_llama_3b_v2,quantized,high,TRUE,
RichardErkhov/codellama_-_CodeLlama-13b-Instruct-hf-gguf,codellama/CodeLlama-13b-Instruct-hf,quantized,high,TRUE,
RichardErkhov/codellama_-_CodeLlama-34b-Instruct-hf-gguf,codellama/CodeLlama-34b-Instruct-hf,quantized,high,TRUE,
RichardErkhov/codellama_-_CodeLlama-70b-hf-gguf,codellama/CodeLlama-70b-hf,quantized,high,TRUE,
RichardErkhov/codellama_-_CodeLlama-7b-Instruct-hf-gguf,codellama/CodeLlama-7b-Instruct-hf,quantized,high,TRUE,
RichardErkhov/gradientai_-_Meta-Llama-3-8B-bf16-gguf,gradientai/Meta-Llama-3-8B-bf16,quantized,high,TRUE,
RichardErkhov/ibm-granite_-_granite-20b-code-instruct-gguf,ibm-granite/granite-20b-code-base-8k,quantized,high,TRUE,
RichardErkhov/ibm-granite_-_granite-34b-code-base-8k-gguf,ibm-granite/granite-34b-code-base-8k,quantized,high,TRUE,
RichardErkhov/ibm-granite_-_granite-3b-code-base-128k-gguf,ibm-granite/granite-3b-code-base-128k,quantized,high,TRUE,
RichardErkhov/ibm-granite_-_granite-3b-code-instruct-128k-gguf,ibm-granite/granite-3b-code-base-128k,quantized,high,TRUE,
RichardErkhov/Locutusque_-_Hercules-3.0-Mistral-7B-gguf,Locutusque/Hercules-3.0-Mistral-7B,quantized,high,TRUE,
RichardErkhov/Locutusque_-_Hercules-4.0-Yi-34B-gguf,Locutusque/Hercules-4.0-Yi-34B,quantized,high,TRUE,
RichardErkhov/Locutusque_-_Llama-3-NeuralHercules-5.0-8B-gguf,meta-llama/Meta-Llama-3-8B,quantized,high,TRUE,
RichardErkhov/m-a-p_-_OpenCodeInterpreter-DS-1.3B-gguf,deepseek-ai/deepseek-coder-1.3b-base,quantized,high,TRUE,
RichardErkhov/m-a-p_-_OpenCodeInterpreter-SC2-3B-gguf,m-a-p/OpenCodeInterpreter-SC2-3B,quantized,high,TRUE,
RichardErkhov/M4-ai_-_tau-0.5B-instruct-DPOP-4bits,M4-ai/tau-0.5B,quantized,high,TRUE,
RichardErkhov/MadMarx37_-_deepseek-coder-1.3b-python-peft-awq,deepseek-ai/deepseek-coder-1.3b-base,quantized,high,TRUE,
RichardErkhov/maharnab_-_gpt2_pycode-4bits,maharnab/gpt2_pycode,quantized,high,TRUE,
RichardErkhov/MaLA-LM_-_emma-500-llama2-7b-gguf,meta-llama/Llama-2-7b-hf,quantized,high,TRUE,
RichardErkhov/MaziyarPanahi_-_calme-2.1-llama3.1-70b-gguf,meta-llama/Llama-3.1-70B-Instruct,quantized,high,TRUE,
RichardErkhov/MaziyarPanahi_-_calme-2.1-qwen2.5-72b-gguf,Qwen/Qwen2.5-72B,quantized,high,TRUE,
RichardErkhov/MaziyarPanahi_-_calme-2.3-llama3.1-70b-gguf,meta-llama/Llama-3.1-70B-Instruct,quantized,high,TRUE,
RichardErkhov/MaziyarPanahi_-_calme-2.3-llama3.1-70b-gguf,meta-llama/Llama-3.1-70B-Instruct,quantized,high,TRUE,
RichardErkhov/meta-llama_-_CodeLlama-13b-hf-gguf,meta-llama/CodeLlama-13b-hf,quantized,high,TRUE,
RichardErkhov/meta-llama_-_CodeLlama-70b-Instruct-hf-gguf,meta-llama/CodeLlama-70b-Instruct-hf,quantized,high,TRUE,
RichardErkhov/meta-llama_-_CodeLlama-7b-Instruct-hf-gguf,meta-llama/CodeLlama-7b-Instruct-hf,quantized,high,TRUE,
RichardErkhov/mrm8488_-_mistral-7b-ft-AgentInstruct-gguf,mrm8488/mistral-7b-ft-AgentInstruct,quantized,high,TRUE,
RichardErkhov/neuralmagic_-_Llama-2-7b-evolcodealpaca-4bits,meta-llama/Llama-2-7b-hf,quantized,high,TRUE,
RichardErkhov/openbmb_-_Eurus-7b-kto-gguf,openbmb/Eurus-7b-kto,quantized,high,TRUE,
RichardErkhov/openbmb_-_Eurus-7b-sft-gguf,openbmb/Eurus-7b-sft,quantized,high,TRUE,
RichardErkhov/Qwen_-_Qwen2.5-Coder-0.5B-awq,Qwen/Qwen2.5-0.5B,quantized,high,TRUE,
RichardErkhov/Qwen_-_Qwen2.5-Coder-1.5B-Instruct-gguf,Qwen/Qwen2.5-Coder-1.5B,quantized,high,TRUE,
RichardErkhov/rombodawg_-_rombos_Replete-Coder-Llama3-8B-gguf,rombodawg/rombos_Replete-Coder-Llama3-8B,quantized,high,TRUE,
RichardErkhov/smallcloudai_-_Refact-1_6B-fim-gguf,refactai/Refact-1_6B-fim,quantized,high,TRUE,
RichardErkhov/stabilityai_-_stablecode-completion-alpha-3b-4k-gguf,stabilityai/stablecode-completion-alpha-3b-4k,quantized,high,TRUE,
RichardErkhov/TechxGenus_-_CursorCore-Yi-1.5B-gguf,TechxGenus/CursorCore-Yi-1.5B,quantized,high,TRUE,
RichardErkhov/tuong-nguyen-prd_-_Phi-3.5-mini-128k-instruct-gguf,tuong-nguyen-prd/Phi-3.5-mini-128k-instruct,quantized,high,TRUE,
RichardErkhov/wenbopan_-_Faro-Yi-9B-gguf,wenbopan/Faro-Yi-9B,quantized,high,TRUE,
RichardErkhov/WisdomShell_-_CodeShell-7B-gguf,WisdomShell/CodeShell-7B,quantized,high,TRUE,
sadiqj/camlcoder,replit/replit-code-v1-3b,finetune,high,TRUE,
Salesforce/codegen-16B-multi,Salesforce/codegen-16B-nl,finetune,high,TRUE,
Salesforce/codet5-base-codexglue-sum-javascript,Salesforce/codet5-base,finetune,high,TRUE,
Salesforce/codet5-base-codexglue-sum-python,Salesforce/codet5-base,finetune,high,TRUE,
sambanovasystems/codegen-16B-mono-toolbench,Salesforce/codegen-16B-mono,finetune,high,TRUE,
sanchit-gandhi/Mistral-7B-Instruct-v0.1,mistralai/Mistral-7B-v0.1,finetune,high,TRUE,
SandLogicTechnologies/Gemma-2-9b-it-GGUF,google/gemma-2-9b-it,quantized,high,TRUE,
SebastianBodza/DElefant,malteos/bloom-6b4-clp-german,finetune,high,TRUE,
SEBIS/code_trans_t5_base_api_generation_multitask_finetune,google-t5/t5-base,finetune,high,TRUE,this is the case that yang et al dicuss we map tp google-t5 but it is not closest one proabably
SEBIS/code_trans_t5_base_source_code_summarization_python,google-t5/t5-base,finetune,high,TRUE,
SEBIS/code_trans_t5_base_source_code_summarization_sql_multitask,google-t5/t5-base,finetune,high,TRUE,
sh0ck0r/Qwen3-VL-2B-Thinking-heretic,Qwen/Qwen3-VL-2B-Thinking,finetune,high,TRUE,
Shoriful025/codebert_vulnerability_scanner,microsoft/codebert-base,finetune,high,TRUE,
StringChaos/R2E-TestgenAgent,Qwen/Qwen2.5-Coder-32B-Instruct,finetune,high,TRUE,
suka-nlp/Llama_2_finetune,meta-llama/Llama-2-7b-hf,finetune,high,TRUE,
support-pvelocity/Llama-2-7B-instruct-text2sql,meta-llama/Llama-2-7b-chat-hf,finetune,high,TRUE,
SYSUSELab/DCS-CodeMistral-7B-It-SupCon-CSN,uukuguy/speechless-code-mistral-7b-v1.0,adapter,high,TRUE,
SYSUSELab/DCS-DeepSeekCoder-6.7B-It-MNTP,deepseek-ai/deepseek-coder-6.7b-instruct,adapter,high,TRUE,
SYSUSELab/DCS-Gemma-7B-It-MNTP,google/gemma-7b-it,adapter,high,TRUE,
SYSUSELab/DCS-Llama2-1.3B-It-MNTP,princeton-nlp/Sheared-LLaMA-1.3B,adapter,high,TRUE,
SYSUSELab/DCS-Qwen2.5-Coder-7B-It-MNTP,Qwen/Qwen2.5-Coder-7B-Instruct,adapter,high,TRUE,
syzymon/long_llama_code_7b,codellama/CodeLlama-7b-hf,finetune,high,TRUE,
YorkieOH10/AlchemistCoder-DS-6.7B-Q8_0-GGUF,internlm/AlchemistCoder-DS-6.7B,quantized,high,TRUE,
yulan-team/YuLan-Mini-Instruct,yulan-team/YuLan-Mini,finetune,high,TRUE,
ZAM-ITI-110/Distil_Bert_V3,distilbert/distilbert-base-cased,finetune,high,TRUE,
zhengchenphd/ICE-GRT,lmsys/vicuna-13b-v1.5-16k,finetune,high,TRUE,
zi1k9mgw/Qwen3-32B-heretic,Qwen/Qwen3-32B,finetune,high,TRUE,
zooai/nano-1,Qwen/Qwen3-0.6B,quantized,high,TRUE,
devngho/phi4-jamo-tokenizer,microsoft/phi-4,merge,high,TRUE,
indischepartij/TinyUltra-4x1.1B-Base-Alpha,Josephgflowers/Tinyllama-Cinder-1.3B-Reason-Test,merge,high,TRUE,
indischepartij/TinyUltra-4x1.1B-Base-Alpha,QuixiAI/TinyDolphin-2.8.1-1.1b,merge,high,TRUE,
indischepartij/TinyUltra-4x1.1B-Base-Alpha,vihangd/DopeyTinyLlama-1.1B-v1,merge,high,TRUE,
indischepartij/TinyUltra-4x1.1B-Base-Alpha,TinyLlama/TinyLlama-1.1B-Chat-v1.0,merge,high,TRUE,
internlm/internlm2-chat-20b-sft,internlm/internlm2-base-20b,finetune,high,TRUE,
NeverSleep/Noromaid-7b-v0.2,mistralai/Mistral-7B-v0.1,finetune,high,TRUE,
meta-llama/Llama-Guard-3-1B,meta-llama/Llama-3.2-1B,finetune,high,TRUE,
maldv/llama-3-fantasy-writer-8b,meta-llama/Llama-3.1-8B-Instruct,finetune,high,TRUE,
Undi95/Llama3-Unholy-8B-OAS,meta-llama/Meta-Llama-3-8B-Instruct,finetune,high,TRUE,
Orenguteng/Llama-3.1-8B-Lexi-Uncensored-V2,meta-llama/Llama-3.1-8B-Instruct,finetune,high,TRUE,
ArliAI/Llama-3.1-8B-ArliAI-RPMax-v1.3,meta-llama/Llama-3.1-8B-Instruct,finetune,high,TRUE,
h2oai/h2o-danube-1.8b-chat,h2oai/h2o-danube-1.8b-base,finetune,high,TRUE,
rombodawg/rombos_Llama3-8B-Instruct-Replete-Adapted,rombodawg/rombos_Replete-Coder-Llama3-8B,adapter,high,TRUE,
SuperAGI/SAM,mistralai/Mistral-7B-Instruct-v0.3,finetune,high,TRUE,
arcee-ai/Llama-Spark,meta-llama/Llama-3.1-8B,merge,high,TRUE,
arcee-ai/Llama-Spark,meta-llama/Llama-3.1-8B-Instruct,merge,high,TRUE,
liminerity/M7-7b,RoyLabban/merge4,merge,high,TRUE,
liminerity/M7-7b,TroyDoesAI/Merge2,merge,high,TRUE,
openai/whisper-large-v3,openai/whisper-large-v2,finetune,high,TRUE,
mixedbread-ai/mxbai-edge-colbert-v0-17m,jhu-clsp/ettin-encoder-17m,finetune,high,TRUE,
Hastagaras/Jamet-8B-L3-MK.V-Blackroot,mradermacher/UltimateANJIR-8B-L3-Blackroot-GGUF,merge,medium,TRUE,
Hastagaras/Jamet-8B-L3-MK.V-Blackroot,meta-llama/Llama-3.1-8B-Instruct,merge,medium,TRUE,
Hastagaras/Jamet-8B-L3-MK.V-Blackroot,Hastagaras/Anjir-8B-L3,merge,medium,TRUE,
Sao10K/L3-8B-Lunaris-v1,meta-llama/Meta-Llama-3-8B-Instruct,merge,high,TRUE,
h2oai/h2o-danube-1.8b-sft,h2oai/h2o-danube-1.8b-base,finetune,high,TRUE,
allura-forge/Llama-3.3-8B-Instruct,meta-llama/Meta-Llama-3-8B-Instruct,finetune,high,TRUE,
nm-testing/SmolLM-1.7B-Instruct-quantized.w4a16,HuggingFaceTB/SmolLM-135M-Instruct,quantized,high,TRUE,
SciPhi/SciPhi-Mistral-7B-32k,mistralai/Mistral-7B-v0.1,finetune,high,TRUE,
berkeley-nest/Starling-LM-7B-alpha,openchat/openchat_3.5,finetune,high,TRUE,
Nitral-AI/Poppy_Porpoise-1.0-L3-8B,meta-llama/Llama-3.1-8B-Instruct,finetune,high,TRUE,
Eric111/Mayo,mlabonne/NeuralBeagle14-7B,merge,high,TRUE,
Eric111/Mayo,openchat/openchat-3.5-0106,merge,high,TRUE,
failspy/Llama-3-8B-Instruct-MopeyMule,meta-llama/Meta-Llama-3-8B-Instruct,finetune,high,TRUE,
Blackroot/Llama-3-LongStory-LORA,meta-llama/Llama-3.1-8B-Instruct,adapter,high,TRUE,
HPAI-BSC/Llama3-Aloe-8B-Alpha,meta-llama/Meta-Llama-3-8B,finetune,high,TRUE,
Danielbrdz/Barcenas-Llama3-8b-ORPO,VAGOsolutions/Llama-3-SauerkrautLM-8b-Instruct,finetune,high,TRUE,
eren23/dpo-binarized-NeuralTrix-7B,CultriX/NeuralTrix-7B-dpo,finetune,high,TRUE,
eren23/dpo-binarized-NeutrixOmnibe-7B,mradermacher/dpo-binarized-NeutrixOmnibe-7B-i1-GGUF,finetune,high,FALSE,wrong direction
bunnycore/Cognitron-8B,Orenguteng/Llama-3-8B-Lexi-Uncensored,merge,high,TRUE,
bunnycore/Cognitron-8B,Weyaxi/Einstein-v6.1-Llama3-8B,merge,low,TRUE,
bunnycore/Cognitron-8B,dphn/dolphin-2.9-llama3-8b,merge,low,TRUE,
SteelStorage/llama-3-cat-8b-instruct-v1,meta-llama/Llama-3.1-8B-Instruct,finetune,high,TRUE,
PetroGPT/WestSeverus-7B-DPO-v2,FelixChao/WestSeverus-7B,finetune,high,TRUE,
FelixChao/WestSeverus-7B,senseable/WestLake-7B-v2,merge,high,TRUE,
FelixChao/WestSeverus-7B,FelixChao/Severus-7B,merge,high,TRUE,
flemmingmiguel/MBX-7B-v3,flemmingmiguel/MBX-7B,merge,high,TRUE,
AiMavenAi/AiMaven-Prometheus,jefferylovely/SuperThetaMaven,merge,high,TRUE,
AiMavenAi/AiMaven-Prometheus,flemmingmiguel/MBX-7B-v3,merge,high,TRUE,
FelixChao/Severus-7B,samir-fama/FernandoGPT-v1,merge,high,TRUE,
FelixChao/Severus-7B,FelixChao/NinjaDolphin-7B,merge,high,TRUE,
flemmingmiguel/MBX-7B,leveldevai/MarcDareBeagle-7B,merge,high,TRUE,
flemmingmiguel/MBX-7B,leveldevai/MarcBeagle-7B,merge,high,TRUE,
jefferylovely/SuperThetaMaven,jefferylovely/ThetaMaven10,merge,high,TRUE,
jefferylovely/SuperThetaMaven,vanillaOVO/supermario_v2,merge,high,TRUE,
samir-fama/FernandoGPT-v1,cookinai/CatMacaroni-Slerp,merge,high,TRUE,
FelixChao/NinjaDolphin-7B,FelixChao/WizardDolphin-7B,merge,high,TRUE,
FelixChao/NinjaDolphin-7B,beowolx/CodeNinja-1.0-OpenChat-7B,merge,high,TRUE,
FelixChao/NinjaDolphin-7B,beowolx/MistralHermes-CodePro-7B-v1,merge,high,TRUE,
leveldevai/MarcDareBeagle-7B,flemmingmiguel/MarcMistral-7B,merge,high,TRUE,
leveldevai/MarcDareBeagle-7B,leveldevai/TurdusDareBeagle-7B,merge,high,TRUE,
leveldevai/MarcBeagle-7B,flemmingmiguel/MarcMistral-7B,merge,high,TRUE,
leveldevai/MarcBeagle-7B,leveldevai/TurdusBeagle-7B,merge,high,TRUE,
jefferylovely/ThetaMaven10,jefferylovely/ThetaMaven9,merge,high,TRUE,
jefferylovely/ThetaMaven10,flemmingmiguel/MBX-7B-v3,merge,high,TRUE,
cookinai/CatMacaroni-Slerp,andrijdavid/Marcoroni-7B-v3-GGUF,merge,high,TRUE,
cookinai/CatMacaroni-Slerp,rishiraj/CatPPT-base,merge,high,TRUE,
FelixChao/WizardDolphin-7B,dphn/dolphin-2.6-mistral-7b-dpo-laser,merge,high,TRUE,
FelixChao/WizardDolphin-7B,WizardLMTeam/WizardMath-7B-V1.1,merge,high,TRUE,
flemmingmiguel/MarcMistral-7B,nfaheem/Marcoroni-7b-DPO-Merge,merge,high,TRUE,
flemmingmiguel/MarcMistral-7B,EmbeddedLLM/Mistral-7B-Merge-14-v0.5,merge,high,TRUE,
leveldevai/TurdusDareBeagle-7B,udkai/Turdus,merge,high,TRUE,
leveldevai/TurdusBeagle-7B,udkai/Turdus,merge,high,TRUE,
leveldevai/TurdusBeagle-7B,mlabonne/NeuralBeagle14-7B,merge,high,TRUE,
jefferylovely/ThetaMaven9,jefferylovely/ThetaMaven7,merge,high,TRUE,
jefferylovely/ThetaMaven9,PetroGPT/WestSeverus-7B-DPO-v2,merge,high,TRUE,
rishiraj/CatPPT-base,Intel/neural-chat-7b-v3-3,merge,high,TRUE,
rishiraj/CatPPT-base,openchat/openchat-3.5-1210,merge,high,TRUE,
nfaheem/Marcoroni-7b-DPO-Merge,fblgit/UNA-TheBeagle-7b-v1,merge,high,TRUE,
jefferylovely/ThetaMaven7,jefferylovely/ThetaMaven5,merge,high,TRUE,
jefferylovely/ThetaMaven7,macadeliccc/WestLake-7B-v2-laser-truthy-dpo,merge,high,TRUE,
Undi95/Llama-3-Unholy-8B,meta-llama/Meta-Llama-3-8B-Instruct,finetune,high,TRUE,
Azure99/blossom-v5-llama3-8b,meta-llama/Meta-Llama-3-8B,finetune,high,TRUE,
jefferylovely/ThetaMaven5,jefferylovely/ThetaMaven4,merge,high,TRUE,
jefferylovely/ThetaMaven5,vanillaOVO/supermario_v2,merge,high,TRUE,
macadeliccc/WestLake-7B-v2-laser-truthy-dpo,QuixiAI/WestLake-7B-v2-laser,finetune,high,TRUE,
meta-math/MetaMath-Mistral-7B,mistralai/Mistral-7B-Instruct-v0.3,finetune,high,TRUE,
jan-hq/supermario-v2,mistralai/Mistral-7B-v0.1,merge,high,TRUE,
SEBIS/code_trans_t5_base_source_code_summarization_csharp,google-t5/t5-base,finetune,high,TRUE,
Fsoft-AIC/XMAiNframe-base-7b,deepseek-ai/deepseek-coder-7b-instruct-v1.5,finetune,high,TRUE,
RedHatAI/starcoder2-15b-quantized.w8a8,bigcode/starcoder2-15b,quantized,high,TRUE,
RichardErkhov/semantixai_-_Lloro-8bits,codellama/CodeLlama-7b-Instruct-hf,quantized,high,TRUE,
RichardErkhov/Replete-AI_-_Replete-Coder-Llama3-8B-gguf,rombodawg/rombos_Replete-Coder-Llama3-8B,quantized,high,TRUE,
RichardErkhov/tokyotech-llm_-_Llama-3-Swallow-70B-Instruct-v0.1-gguf,tokyotech-llm/Llama-3-Swallow-70B-Instruct-v0.1,quantized,high,TRUE,
LiteLLMs/codegemma-7b-GGUF,google/codegemma-7b,quantized,high,TRUE,
asmud/ds4sd-CodeFormula-onnx,docling-project/CodeFormula,quantized,high,TRUE,
ZuzeTt/Qwen3-VL-4B-Instruct-heretic-GGUF,Qwen/Qwen3-VL-4B-Instruct,quantized,high,TRUE,
Maelstrome/mermaid-gemma-7b,google/gemma-7b,finetune,high,TRUE,
tokyotech-llm/Swallow-MX-8x7b-NVE-v0.1,mistralai/Mixtral-8x7B-Instruct-v0.1,finetune,high,TRUE,
TechxGenus/CodeGemma-2b,google/gemma-2b,finetune,high,TRUE,
RichardErkhov/opencsg_-_opencsg-starcoder2-3b-v0.1-gguf,opencsg/opencsg-starcoder2-3b-v0.1,quantized,high,TRUE,
ClueAI/ChatYuan-large-v2,ClueAI/ChatYuan-large-v1,finetune,high,TRUE,
michaelfeil/ct2fast-codegen-16B-multi,Salesforce/codegen-16B-multi,quantized,high,TRUE,
zhangce/test3,prashrex/codegen2,finetune,high,TRUE,
richfrem/smart-secrets-scanner-gguf,meta-llama/Llama-3.1-8B-Instruct,quantized,high,TRUE,
InfosysEnterprise/NT-Java-1.1B,bigcode/starcoderbase-1b,finetune,high,TRUE,
Trelis/CodeLlama-34b-Instruct-hf-function-calling-adapters-v2,codellama/CodeLlama-34b-hf,finetune,high,TRUE,
